Date,NO2,O3,PM10,PM2.5,Latitude,Longitude,station_name,Wind-Speed (U),Wind-Speed (V),Dewpoint Temp,Soil Temp,Total Percipitation,Vegitation (High),Vegitation (Low),Temp,Relative Humidity,code,id
2021-09-01 01:00:00,7.0,53.0,15.0,4.0,43.612386,13.51083,Ancona Citadella,-0.52828566217256,-0.9876729667320048,63.56378782841732,66.47666689849162,0.0,3.184390343680488,2.847654297869086,66.07562395185649,85.422434804973,IT1827A,26
2021-09-01 01:00:00,8.0,,9.0,,43.527982,13.246672,Jesi,-0.5296565808601021,-0.9872815109681864,64.89450668992737,67.80382009372475,0.0,3.179203965402514,2.851910212753923,67.39299361996133,85.50207760793452,IT0460A,23
2021-09-01 01:00:00,9.035176,49.232338,10.6816845,7.7003117,43.45,13.25,Ancona CAMS Station 11,-0.529798489864616,-0.9872252807678668,65.12347691700684,68.03268634164263,0.0,3.1767918826498964,2.852829816167349,67.62249257081238,85.50001294921638,ANCCAMS11,39
2021-09-01 01:00:00,10.292098,51.336113,10.310384,6.732396,43.55,13.449999809265137,Ancona CAMS Station 8,-0.5286188914089289,-0.9875654901624092,63.943510937069405,66.85564817140428,0.0,3.181947113547507,2.849007017356104,66.45319452542363,85.43590613309004,ANCCAMS08,36
2021-09-01 01:00:00,8.348963,39.351303,10.273862,7.066792,43.55,13.149999618530272,Ancona CAMS Station 5,-0.5300686663421186,-0.9871790407265684,65.20854427616335,68.11662240484291,0.0,3.179280336270302,2.852743445977699,67.70153106588108,85.5340013356071,ANCCAMS05,33
2021-09-01 01:00:00,9.253618,57.373196,9.802318,6.0185847,43.55,13.550000190734863,Ancona CAMS Station 9,-0.5281274418941382,-0.9877023846764648,63.47977299411987,66.39329255946215,0.0,3.1833794865095366,2.847570711361577,65.99479427254147,85.40433596871071,ANCCAMS09,37
2021-09-01 01:00:00,9.0,52.0,12.0,,43.6059239,13.4923191,Ancona Stazione FF,-0.5283750731678211,-0.9876464205109952,63.65463089373252,66.56727721006413,0.0,3.18397839175909,2.847955015539213,66.16564313688494,85.42738137248799,ASFF01,27
2021-09-01 01:00:00,6.937853,69.99722,7.4509325,5.0804553,43.65,13.550000190734863,Ancona CAMS Station 4,-0.5280918365593024,-0.98773630412647,63.34209933020942,66.25541393061539,0.0,3.185841937217606,2.8468567609808377,65.85517782360692,85.41465165072272,ANCCAMS04,32
2021-09-01 01:00:00,8.43859,52.392803,10.895985,6.5085754,43.45,13.550000190734863,Ancona CAMS Station 14,-0.5281580895532203,-0.9876665867085872,63.62561003413232,66.53936516048596,0.0,3.1806769875857634,2.848344079610865,66.14282833450775,85.39262725100923,ANCCAMS14,42
2021-09-01 01:00:00,10.514014,48.85494,10.601763,7.349176,43.55,13.350000381469728,Ancona CAMS Station 7,-0.5291118034399406,-0.987431444616872,64.39161956451915,67.30237658885683,0.0,3.180775438883566,2.850361390529175,66.89579654315855,85.46836898114924,ANCCAMS07,35
2021-09-01 01:00:00,9.740987,48.637386,9.68468,7.343335,43.45,13.350000381469728,Ancona CAMS Station 12,-0.5292553879093904,-0.9873678906390492,64.6485699737103,67.55927592691893,0.0,3.177770599266609,2.8514456657363123,67.15378635385629,85.46355635931077,ANCCAMS12,40
2021-09-01 01:00:00,8.0,45.0,10.0,7.0,43.633761,13.388042,Falconara Scuola,-0.528828956406704,-0.9875271328497084,64.04245229878406,66.95372963215256,0.0,3.183453156129008,2.8490694993051595,66.54777522464634,85.46062554534396,IT0461A,24
2021-09-01 01:00:00,7.498279,37.1933,10.408353,6.761642,43.65,13.149999618530272,Ancona CAMS Station 0,-0.5298413203932276,-0.98725920835064,64.8953140501203,67.80366685109578,0.0,3.182113477458964,2.851550756513103,67.38839743475789,85.53224045092658,ANCCAMS00,28
2021-09-01 01:00:00,8.922399,50.25913,10.361543,7.309087,43.45,13.149999618530272,Ancona CAMS Station 10,-0.5303239521085265,-0.9870900049450536,65.56105648823778,68.46881741854202,0.0,3.17615001175692,2.854072215713659,68.05387463401851,85.53631640845306,ANCCAMS10,38
2021-09-01 01:00:00,9.249817,46.678776,9.533562,6.6940413,43.45,13.449999809265137,Ancona CAMS Station 13,-0.5287051634217995,-0.9875157170703892,64.14583237470163,67.05806134868146,0.0,3.1790731709971105,2.8499418349298047,66.65714978469009,85.42756037940106,ANCCAMS13,41
2021-09-01 01:00:00,8.739533,50.067905,10.1674795,6.5829406,43.65,13.25,Ancona CAMS Station 1,-0.5294171004296165,-0.9873715492897888,64.54094997432945,67.4505102120267,0.0,3.1826792640713912,2.8505177156415016,67.0391115227214,85.50252148270089,ANCCAMS01,29
2021-09-01 01:00:00,4.0,64.0,5.0,,43.623906,13.392558,Falconara Alta,-0.5288193358927048,-0.9875276202891085,64.04442210018806,66.95575796614061,0.0,3.1832441795940425,2.8491024841472257,66.55008605133644,85.45872991853774,IT0463A,25
2021-09-01 01:00:00,18.0,16.0,,,43.6375,13.37212,Falconara Acquedotto,-0.5288963455098483,-0.9875095162934572,64.09900166407708,67.0100766872385,0.0,3.1833868459232404,2.849230834934501,66.60347483739248,85.46558616757915,IT0462A,90
2021-09-01 01:00:00,10.455807,36.120407,10.193969,7.2741566,43.55,13.25,Ancona CAMS Station 6,-0.5295978768787563,-0.9873020468396664,64.81583161819995,67.725229670279,0.0,3.17988289599959,2.8516128867256394,67.31441500293323,85.5012340553206,ANCCAMS06,34
